Property_ID,Vectorized,Property_Name,Historic_Town,Modern_Town,Modern_State,Loc_Certain,Acq_Date,Acq_Type,Sellers_Grantors,Purchase_Price,Size,Sale_Date,Sale_Price,Purchasers,Student_Project,temp_field_old_source,Notes,Geo_Basis_Type,Geo_Source_Citation,Geo_Source_URL,Geo_Student_Attribution,Geo_Notes,Sources,Latitude,Longitude,Geocode_Method
P0001,No,Rowley lots,Rowley,Rowley,MA,Yes,1701,Bequest,Ezekiel Rogers,,,1732,£2577 10s,"Thomas Lambert, Nathaniel Mighill, Humphrey Hobson, David Northen, Eliott Payson, Edward Palmer, Benjamin Smith, Nathaniel Bradstreet, Thomas Lull, David Hale, David Dressor Houndsley, John Sanders, Samuel Cooper, Nathaniel Clark, Thomas Wood, Mr. Jewitt",Fall '22 Lena Tinker and Claire Pryor,Populated in new source field: status=complete,30 lots acquired in 1701 from a clause in Rogers' 1660 will. Price listed is the sum of prices listed in account in CB3. Proceeds from sale used to acquire Rogers Farm.,N/A,N/A,N/A,N/A,N/A,"S0001,S0002,S0003,S0021",42.71667,-70.87917,Town centroid (Wikipedia)
P0002,No,Newton (2),,Newton,MA,No,,,,,"27 acres, 3 roods, 32 rods",,,,,Populated in new source field: status=complete,,N/A,N/A,N/A,N/A,N/A,S0004,42.33694,-71.20972,Town centroid (Wikipedia)
P0003,No,Shawshin Farm,Billerica,Billerica,MA,Yes,1648,Legislative grant,MA General Court,,80 acres,,,,"Fall '22 Margaret Hylton,Fall '24 Bennett Pitcher",Populated in new source field: status=complete,,N/A,N/A,N/A,N/A,N/A,"S0005,S0006",42.55833,-71.26944,Town centroid (Wikipedia)
P0004,No,Shawshin Farm extension,Billerica,Billerica,MA,Yes,,Gift,Henry Dunster,,100 acres,,,,"Fall '22 Margaret Hylton,Fall '24 Bennett Pitcher",Populated in new source field: status=complete,,N/A,N/A,N/A,N/A,N/A,"S0007,S0008",42.55833,-71.26944,Town centroid (Wikipedia)
P0005,No,Framingham (Danforth Farm),Framingham,Framingham,MA,Yes,1699,Bequest,Thomas Danforth,,,1767,,"Moses Haven, Daniel Haven, Nathaniel Biglow",,Populated in new source field: status=complete,3 lots, 2 sold 1767,N/A,N/A,N/A,N/A,N/A,42.27917,-71.41667,Town centroid (Wikipedia)
P0006,No,Hopkinton,Hopkinton,Hopkinton,MA,Yes,,Bequest,Samuel Brown,,200 acres,,,,,Populated in new source field: status=complete,200 acre lot in Hopkinton mentioned in records concerning Danforth Farm,N/A,N/A,N/A,N/A,N/A,"S0010,S0011",42.22861,-71.52306,Town centroid (Wikipedia)
P0007,No,Lunenberg,Lunenberg,Lunenberg,MA,Yes,1719,Legislative grant,MA General Court,,250 acres,,,,Fall '22 Kabl Wilkerson,Populated in new source field: status=complete,Awarded at the same time as 250 acres in Townsend,N/A,N/A,N/A,N/A,N/A,"S0012,S0013",42.59444,-71.725,Town centroid (Wikipedia)
P0008,No,Townsend (2),Townsend,Brookline,NH,Yes,,,,,67 acres,,,,Fall '22 Kabl Wilkerson,Populated in new source field: status=complete,Harvard acquired an additional Townsend lot ca. 1737.,N/A,N/A,N/A,N/A,N/A,S0014,42.75583,-71.67111,Town centroid (Wikipedia)
P0009,No,Narragansett Farm,,North Kingstown,RI,Yes,1696,Gift,Samuel Sewall,,500 acres,1827,"$4,862.73","Constant Sweet, James Greene, Jonathan Reynolds, Clarke Lawson, Henry Vaughan, Daniel G. Champlin, George F. Church, R.F. Noyes, James A. Smith, Joseph P. Sanford and Henry Vaughanb, Jonathan Slocum",Fall '23 Ailie Johnson,Populated in new source field: status=complete,"Apparently in North Kingstown and Exeter, RI. Auctioned in 16 lots. Income from property to support scholarships for local and Indian students. ",N/A,N/A,N/A,N/A,N/A,"S0015,S0016",41.58056,-71.45389,Town centroid (Wikipedia)
P0010,No,Coggan's Marsh,Chelsea,Chelsea,MA,Yes,1652,Gift,John Coggan,,53 acres 153 poles,1831,,Edward H. Robbins,,Populated in new source field: status=complete,Located in Rumney Marsh,N/A,N/A,N/A,N/A,N/A,"S0017,S0018,S0019,S0020",42.39167,-71.03333,Town centroid (Wikipedia)
