Source_ID,Property_ID,Property_ID (from Property_ID),Source_Type,Title,URL,Locator,Access_Notes
S0001,P0001,Rowley lots,Records of Land and Property,Records of Land and Property I,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00955,,
S0002,P0001,Rowley lots,College Book,College Book 1,https://www.colonialsociety.org/node/595#pt02,39-40,
S0003,P0001,Rowley lots,College Book,College Book 3,https://www.colonialsociety.org/node/597#pt03,,
S0021,P0001,Rowley lots,County Deeds,"Essex 16.124, 19.78, 72.6, 89.17, 72.6, 72.36, 73.126, 77.108, 78.55, 79.69, 79.89, 87.113, 89.17, 89.155, 110.18",,,Note: accessing digitized county deeds requires a free Familysearch account.
S0004,P0002,Newton (2),Records of Land and Property,Records of Land and Property VIII,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00974,,
S0005,P0003,Shawshin Farm,Records of Land and Property,Records of Land and Property IX,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00987,,
S0006,P0003,Shawshin Farm,College Book,College Book 3,https://www.colonialsociety.org/node/597#pt03,"208, 253, 269",
S0007,P0004,Shawshin Farm extension,Records of Land and Property,Records of Land and Property IX,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00987,,
S0008,P0004,Shawshin Farm extension,College Book,College Book 3,https://www.colonialsociety.org/node/597#pt03,"208, 253, 269",
S0009,P0005,Framingham (Danforth Farm),Records of Land and Property,Records of Land and Property XI,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00976,,
S0010,P0006,Hopkinton,Records of Land and Property,Records of Land and Property XI,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00976,,
S0011,P0006,Hopkinton,College Book,College Book 3,https://www.colonialsociety.org/node/597#pt03,282,
S0012,P0007,Lunenberg,Records of Land and Property,Records of Land and Property XII,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00977,,
S0013,P0007,Lunenberg,College Book,College Book 3,https://www.colonialsociety.org/node/597#pt03,281-82,
S0014,P0008,Townsend (2),Records of Land and Property,Records of Land and Property XIV,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00979,,
S0015,P0009,Narragansett Farm,Records of Land and Property,Records of Land and Property XIII,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00978,,
S0016,P0009,Narragansett Farm,College Book,College Book 3,https://www.colonialsociety.org/node/597#pt03,272,
S0017,P0010,Coggan's Marsh,Records of Land and Property,Records of Land and Property XVI,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00981,,
S0018,P0010,Coggan's Marsh,College Book,College Book 1,https://www.colonialsociety.org/node/595#pt02,54,
S0019,P0010,Coggan's Marsh,College Book,College Book 3,https://www.colonialsociety.org/node/597#pt03,"209, 253, 269-70",
S0020,P0010,Coggan's Marsh,County Deeds,Essex 128.18,,,Note: accessing digitized county deeds requires a free Familysearch account.
S0022,P0011,Stoughton's Marsh,Records of Land and Property,Records of Land and Property XVI,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00981,,
S0023,P0011,Stoughton's Marsh,College Book,College Book 3,https://www.colonialsociety.org/node/597#pt03,270,
S0024,P0012,Stoughton's Pasture,Records of Land and Property,Records of Land and Property XIX,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00984,,
S0025,P0012,Stoughton's Pasture,College Book,College Book 3,https://www.colonialsociety.org/node/597#pt03,270-271,
S0026,P0013,Israel Stoughton's legacy,College Book,College Book 1,https://www.colonialsociety.org/node/595#pt02,22,
S0027,P0014,Granby,Records of Land and Property,Records of Land and Property XX,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00985,,
S0028,P0015,Plainfield,Records of Land and Property,Records of Land and Property XXI,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c01111,,
S0029,P0016,Andover Farm,Records of Land and Property,Records of Land and Property XXII,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00986,,
S0030,P0016,Andover Farm,College Book,College Book 1,https://www.colonialsociety.org/node/595#pt02,22,
S0031,P0016,Andover Farm,College Book,College Book 3,https://www.colonialsociety.org/node/597#pt03,"176, 209, 283-84",
S0032,P0017,Robert Cook grant,Records of Land and Property,Records of Land and Property XXII,https://hollisarchives.lib.harvard.edu/catalog/hua28010_hua28010c00986,,
